组件名称,组件类型,父组件,导入的API函数,URL,说明
"yxxtOld/index","路由组件","","viewXsxxBd","/yxxt/v3/xgYxXsxx/bd/view","viewXsxxBd"
"views/modules/yxxtOld/components/home.vue","Vue组件","yxxtOld/index","yxInfoTop","/yxxt/v3/xgYxXxfb/list","yxInfoTop"
"views/modules/yxxtOld/components/home.vue","Vue组件","yxxtOld/index","getxgJczyQrcode","/jczy/v3/xgJczyQrcode/generate","getxgJczyQrcode"
"views/modules/yxxtOld/components/home.vue","Vue组件","yxxtOld/index","getFormData","/business/v3/form/def/getFormData","通过formkey获取表单定义数据@param {} paramsexport function getFormDataByFormKey(params) {return request({url: FORM_URL() + '/form/def/getFormDataByFormKey',method: 'get',params})}获取表单定义数据@param {} params"
"views/modules/yxxtOld/components/home.vue","Vue组件","yxxtOld/index","queryfwsz","/yxxt/v3/xgYxXsfwsz/query","queryfwsz"
"views/modules/yxxtOld/components/home.vue","Vue组件","yxxtOld/index","getgrInfo","/yxxt/v3/xgYxXsxx/view","getgrInfo"
"views/modules/yxxtOld/components/home.vue","Vue组件","yxxtOld/index","getwcqk","/yxxt/v3/xgYxXsfwbl/wcqk","getwcqk"
"views/modules/yxxtOld/components/home.vue","Vue组件","yxxtOld/index","queryQyfwkp","/yxxt/v3/xgYxXsfwkpsz/queryQyfwkp","queryQyfwkp"
"views/modules/yxxtOld/components/commonProblem.vue","Vue组件","yxxtOld/index","queryZxwt","/yxxt/v3/xgYxZxwt/query","queryZxwt"
"views/platform/notice/index.vue","Vue组件","yxxtOld/index","queryPageList","/platform/v3/system/news/query","查询列表数据@param {} params"
"views/platform/notice/index.vue","Vue组件","yxxtOld/index","remove","/platform/v3/system/news/remove","查询列表数据@param {} paramsexport function queryPageList(params) {return request({url: SYSTEM_URL() + '/system/news/query',method: 'post',data: params})}删除数据@param {} params"
"views/platform/notice/index.vue","Vue组件","yxxtOld/index","save","/platform/v3/system/news/save","删除数据@param {} paramsexport function remove(params) {return request({url: SYSTEM_URL() + '/system/news/remove',method: 'post',isLoading: true,params: params})}保存数据@param {} params"
"views/platform/notice/index.vue","Vue组件","yxxtOld/index","saveDraft","/platform/v3/system/news/saveDraft","保存数据@param {} paramsexport function save(params) {return request({url: SYSTEM_URL() + '/system/news/save',method: 'post',isLoading: true,data: params})}保存草稿数据@param {} params"
"views/platform/notice/index.vue","Vue组件","yxxtOld/index","get","/platform/v3/system/news/get","保存草稿数据@param {} paramsexport function saveDraft(params) {return request({url: SYSTEM_URL() + '/system/news/saveDraft',method: 'post',isLoading: true,data: params})}获取数据@param {} params"
"views/platform/notice/index.vue","Vue组件","yxxtOld/index","load","/platform/v3/employee/load","获取数据@param {} paramsexport function get(params, isLoading = false) {return request({url: ORG_URL() + '/employee/get',method: 'get',params,isLoading})}获取数据@param {} params"
"views/platform/notice/index.vue","Vue组件","yxxtOld/index","get","/platform/v3/file/attachment/get","删除数据@param {} paramsexport function remove(params) {return request({url: SYSTEM_URL() + '/file/attachment/remove',method: 'post',isLoading: true,params: params})}获取数据@param {} params"
"views/platform/notice/index.vue","Vue组件","yxxtOld/index","remove","/platform/v3/file/attachment/remove","查询列表数据@param {} paramsexport function queryPageList(params) {return request({url: SYSTEM_URL() + '/file/attachment/query',method: 'post',data: params})}删除数据@param {} params"
"views/platform/notice/index.vue","Vue组件","yxxtOld/index","transfer","/platform/v3/file/attachment/transfer","获取数据@param {} paramsexport function get(params) {return request({url: SYSTEM_URL() + '/file/attachment/get',method: 'get',params})}获取数据(通过ID转换为名称)@param {} params"
"views/platform/notice/index.vue","Vue组件","yxxtOld/index","uploadFile","/platform/v3/file/upload","文件上传@param {} file@param {} uploadFileVo"
"views/platform/notice/index.vue","Vue组件","yxxtOld/index","queryPageList","/platform/v3/file/attachment/query","查询列表数据@param {} params"
"views/platform/notice/index.vue","Vue组件","yxxtOld/index","findByCategoryKey","/platform/v3/cat/type/findByCategoryKey","根据分类组键获取分类信息@param {} paramsexport function findTreeData(params) {return request({url: CAT_URL() + '/cat/type/findTreeData',method: 'get',params})}根据分类组键获取分类信息@param {} params"
"views/platform/notice/index.vue","Vue组件","yxxtOld/index","findTreeData","/platform/v3/cat/type/findTreeData","根据分类组键获取分类信息@param {} params"
"views/modules/yxxtOld/components/newStudentRegistrationForm.vue","Vue组件","yxxtOld/index","viewXsxxBd","/yxxt/v3/xgYxXsxx/bd/view","viewXsxxBd"
"views/modules/yxxtOld/components/newStudentRegistrationForm.vue","Vue组件","yxxtOld/index","queryLchj","/yxxt/v3/xgYxLchj/query","queryLchj"
"views/modules/yxxtOld/components/newStudentRegistrationForm.vue","Vue组件","yxxtOld/index","getgrInfo","/yxxt/v3/xgYxXsxx/view","getgrInfo"
"/announcement","路由组件","","queryPageList","/platform/v3/system/news/query","查询列表数据@param {} params"
